Parameter,Description (and options),Crystallize,BigCommerce,Magento (Adobe Commerce),Shopify,SAP Commerce Cloud (originally SAP Hybris),commercetools,Commerce Layer,Saleor,Norce,Centra,Litium,Optimizely
⚙️ Tech,,,,,,,,,,,,,
Architecture Type,Monolith / Headless / Composable,Headless / Composable,SaaS (monolith + headless hybrid),Monolith (with headless/composable extensions),SaaS (monolith + APIs),Modular monolith (moving toward composable),"Fully headless, composable",Headless (API-first),Headless (Open-source),Composable / API-first (but opinionated backend),"Headless (API-first, commerce-focused)",Hybrid (Headless + traditional CMS roots),Hybrid (DXP + composable + optional headless)
Built with,Core technologies,"Node.js, GraphQL-native","PHP backend, SaaS platform",PHP (Zend/Laminas),"Ruby (Rails), Liquid, React",Java (Spring),"Java, microservices",Ruby / Go services,"Python (Django), GraphQL",.NET,PHP (Symfony-based core),.NET,".NET (ASP.NET Core), Azure ecosystem"
API Language,REST / GraphQL / Hybrid,GraphQL-first,REST + GraphQL (Storefront GraphQL),REST + GraphQL,REST + GraphQL,REST (limited GraphQL),REST + GraphQL,REST + GraphQL,GraphQL-first,REST (GraphQL limited),REST (GraphQL limited),REST,REST + Graph (Optimizely Graph)
Front-end Environment,Supported frameworks,"Any (Next.js, React, Vue, etc.)","Stencil, Next.js, Gatsby, custom","Luma (legacy), PWA Studio, APIs","Liquid, Hydrogen (React)","Accelerator-based (Spartacus, Angular)","Any (React, Vue, etc.)",Any,Any (strong React ecosystem),Any (headless),Any (strong DTC focus),.NET + headless options,"React (Spire), AngularJS (legacy), custom frontends"
Hosting and Infrastructure,Cloud / SaaS / self-hosted,Fully managed cloud SaaS,Fully managed SaaS,Self-hosted or Adobe Cloud,Fully managed SaaS,SAP cloud (Azure-based),Cloud-native (GCP/AWS),SaaS,Self-hosted / Cloud (Saleor Cloud),Cloud (Azure),SaaS (managed),SaaS (Azure),SaaS (cloud-native) + PaaS options
Security Standards,Compliance + API protections,"Cloud-native security, API auth, role-based access","PCI DSS Level 1, ISO/enterprise-grade protections","PCI DSS (self-managed responsibility), Adobe security",PCI DSS Level 1,"Enterprise-grade (ISO, SOC, SAP stack)","Enterprise-grade (ISO, SOC)","GDPR, OAuth2",Depends on deployment,"Enterprise-grade (Azure security, OAuth)","SaaS-grade, PCI-ready",Enterprise .NET + Azure compliance,"OAuth2, OpenID Connect, Identity Server, PCI considerations"
Customization Depth,Extensibility of core models,"Very high (model-first, no schema limits)","Moderate (API + apps, some constraints)",Very high (full code control),Medium (platform constraints),Very high (but complex),Very high (API-first),Medium–High (rules engine),Very high (full code control),High (backend extensibility),Medium (API-first but controlled),Medium (more structured ecosystem),"High but framework-constrained (SDK, pipelines, .NET)"
Data Interaction,Query/mutation/data flow,Pure GraphQL (query + mutation symmetry),"API-driven, some legacy constraints",Database-driven + APIs,API + platform-controlled,Service-layer driven,Fully API-driven,API orchestration,Direct GraphQL data access,Service-oriented APIs,Commerce-focused APIs,Structured CMS + commerce coupling,REST pipelines + Graph API + CMS-driven data flows
Scalability,Horizontal / vertical scaling,"Horizontal, high-performance APIs",Horizontal SaaS scaling,Depends on infrastructure (can scale heavily),High (black box scaling),High (but heavy infra),"Horizontal, cloud-native",Horizontal (cloud-native),Horizontal (infra-dependent),Strong (enterprise Nordic clients),Strong (fast DTC scaling),Strong but less battle-tested globally,Cloud-native horizontal scaling
Multitenancy,Yes / No / Partial,Yes,Yes,No,Yes,Partial,Yes,Yes,Partial,Yes,Yes,Yes,Yes (enterprise SaaS)
Multi-Level Company Hierarchy,Can it handle a parent company with 50 subsidiaries (Yes or No),Yes,Partial,Yes,Limited,Yes (strong B2B support),Yes,Yes,Limited,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,
🧩 Feature,,,,,,,,,,,,,
Headless Commerce,Yes / No / Partial,Yes (native),Yes (hybrid origins),Partial (PWA Studio + APIs),Partial (Hydrogen + APIs),Partial (retro-fitted),Yes,Yes,Yes,Yes,Yes (core strength),Partial,Partial (optional headless mode)
Product Modeling,Flexibility of product structures,Extremely flexible (Product Universe),Structured but rigid (variants/options),Very flexible,Limited (variants/options),Strong but rigid (type system),"Advanced (types, attributes)",Structured but simpler,Extremely flexible,Flexible (but dev-heavy),Structured (fashion-first bias),Structured,Structured but CMS/PIM-dependent
Catalog Scale,Large catalog support,Strong (enterprise-grade),Strong (100k+ SKUs),Excellent (enterprise-grade),Good (with limits),Excellent (enterprise-grade),Enterprise (100k+ SKUs),Mid–large,Large (infra dependent),Large catalogs supported,Strong for SKU-heavy DTC,Good but not extreme scale,Strong (enterprise B2B focus)
Product Information Management (PIM),Built-in or external,"Advanced, native PIM",Basic built-in,Limited built-in / often external,No (apps required),Built-in (core strength),Limited (needs external),No (external),No (external),External or custom,Limited native PIM,Built-in PIM,External or integrated modules
CMS Capabilities,Content features,Strong composable CMS,Limited (page builder),Moderate,Basic,Integrated but traditional,No,No,No,External (bring your own),Minimal,Strong (core strength),Best-in-class (DXP heritage)
Subscription Engine,Native / via integration,Native support,Via apps,Extensions,Via apps,Via SAP modules / integrations,Via integration,Native support,Via plugins,Via integration,Limited,Via integration,Via integration
Checkout Customization,Native vs customizable,Fully customizable,Limited (platform-controlled checkout),Fully customizable,Limited (Shopify-controlled),Limited without heavy dev,High,High (API-driven),Very high,High (backend-driven),Strong (optimized flows),Medium,Pipeline-based customization
Order Orchestration,Workflow handling,Flow-based orchestration (custom workflows),Standard flows,Advanced,Basic,Strong enterprise workflows,Strong,Strong (rules-based),Custom logic,Strong,Strong (DTC optimized),Medium,Built-in pipelines
Digital Asset Management (DAM),Asset handling,"Built-in, structured assets",Basic,Limited,No (basic media only),Integrated,No,No,No,External,Limited,Built-in,Built-in (DXP ecosystem)
CRM Integration,Integration options,API-first integrations,"Via apps (Salesforce, HubSpot, etc.)",Strong,Strong ecosystem,"Native SAP ecosystem (C4C, etc.)",Yes,Yes,Yes,Yes,Yes,Yes,"Strong (ODP, external CRM)"
Analytics and Reporting,Built-in / external,External / composable,Built-in dashboards,Built-in + external,Built-in + apps,Built-in + SAP analytics,External,External,External,External,Built-in + external,Built-in,Strong (experimentation + analytics)
Multichannel Selling,Channels supported,Yes (API-driven anywhere),"Yes (Amazon, eBay, social)",Strong,Strong,Strong,Yes,Yes,Yes,Yes,"Strong (DTC, wholesale)",Yes,Yes (API-driven)
Multi-language,Localization,Yes (native modeling),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Multi-currency,Currency support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Customization / Templating,Templates + flexibility,Fully custom frontends,Stencil + apps,Full control (PHP + frontend),Liquid + apps,Accelerator-based (rigid),API-first,API-first,Full frontend freedom,Fully custom frontends,Frontend freedom,More traditional templating,"Themes, Razor, React (Spire)"
SEO tools,Built-in / external,Depends on frontend,Built-in,Strong,Good,Basic,External,External,External,External,Decent built-in,Strong (CMS-driven),Strong (DXP suite)
International SEO,Multi-region SEO,Fully flexible,Supported,Strong,Good,Supported,External,External,External,Yes,Yes,Yes,Yes
App Ecosystem / Marketplace,Size and maturity,"Smaller, growing","Large, mature",Large but fragmented,Massive,Large SAP ecosystem,Large (MACH ecosystem),Growing,Smaller,Small,Growing,Moderate,Mature enterprise ecosystem
,,,,,,,,,,,,,
⚡ Reliability & Guarantees,,,,,,,,,,,,,
Deterministic Output Guarantees,"Can the system guarantee consistent outputs (pricing, checkout, workflows)",High (API-driven deterministic flows),Medium (depends on apps/extensions),Depends on implementation,Medium (black-box logic),Strong (enterprise-grade),Strong (enterprise-grade flows),Strong (API-driven consistency),Depends on implementation,Medium (depends on implementation),High (controlled flows),Medium,Medium (pipeline complexity introduces variability)
Execution Observability,"Logs, traces, workflow visibility","Strong (flows, API logs, observability hooks)",Limited (logs via platform/apps),Requires tooling,Limited,"SAP tooling, logs","Good (logs, monitoring)",Moderate,Custom / self-built,Azure + custom logging,Good SaaS observability,Standard,Good (enterprise tooling)
Failure Handling & Recovery,"Retries, rollbacks, fallback strategies",Custom workflows + retries (Flows),Platform-managed,Developer responsibility,Managed by Shopify,Mature enterprise patterns,"Retries, queues",Retry logic built-in,Custom,Custom implementation,Built-in flows,Moderate,"Pipeline retries, middleware handling"
State Management Transparency,"Visibility/control over carts, orders, workflows",High (full control via APIs),Partial (cart/checkout abstracted),High,Low,Limited (opaque layers),Moderate,High (clean resource model),High (you control state),Medium,High (checkout/cart clarity),Medium,Partial (abstracted pipelines)
Idempotency Support,"Safe retry of operations (orders, payments)",Strong (API-first design),Partial,Custom implementation,Partial,Supported but complex,Yes,Yes (strong),Partial,Supported,Supported,Limited clarity,Supported but implementation-dependent
